"","format(time, ""%Y-%m"")","energy_type","sum_energy"
"505","2017-01","generation.biomass",516758
"506","2017-01","generation.fossil.brown.coal.lignite",512352
"507","2017-01","generation.fossil.coal.derived.gas",0
"508","2017-01","generation.fossil.gas",4770968
"509","2017-01","generation.fossil.hard.coal",4117134
"510","2017-01","generation.fossil.oil",207965
"511","2017-01","generation.fossil.oil.shale",0
"512","2017-01","generation.fossil.peat",0
"513","2017-01","generation.geothermal",0
"514","2017-01","generation.hydro.pumped.storage.aggregated",0
"515","2017-01","generation.hydro.pumped.storage.consumption",462927
"516","2017-01","generation.hydro.run.of.river.and.poundage",526553
"517","2017-01","generation.hydro.water.reservoir",1604772
"518","2017-01","generation.marine",0
"519","2017-01","generation.nuclear",5036818
"520","2017-01","generation.other",40383
"521","2017-01","generation.other.renewable",73808
"522","2017-01","generation.solar",809783
"523","2017-01","generation.waste",222837
"524","2017-01","generation.wind.offshore",0
"525","2017-01","generation.wind.onshore",4823574
"526","2017-02","generation.biomass",472234
"527","2017-02","generation.fossil.brown.coal.lignite",405495
"528","2017-02","generation.fossil.coal.derived.gas",0
"529","2017-02","generation.fossil.gas",3737089
"530","2017-02","generation.fossil.hard.coal",2945062
"531","2017-02","generation.fossil.oil",195822
"532","2017-02","generation.fossil.oil.shale",0
"533","2017-02","generation.fossil.peat",0
"534","2017-02","generation.geothermal",0
"535","2017-02","generation.hydro.pumped.storage.aggregated",0
"536","2017-02","generation.hydro.pumped.storage.consumption",308978
"537","2017-02","generation.hydro.run.of.river.and.poundage",671967
"538","2017-02","generation.hydro.water.reservoir",1259899
"539","2017-02","generation.marine",0
"540","2017-02","generation.nuclear",4528788
"541","2017-02","generation.other",38038
"542","2017-02","generation.other.renewable",63779
"543","2017-02","generation.solar",777814
"544","2017-02","generation.waste",195590
"545","2017-02","generation.wind.offshore",0
"546","2017-02","generation.wind.onshore",3582394
"547","2017-03","generation.biomass",422622
"548","2017-03","generation.fossil.brown.coal.lignite",249401
"549","2017-03","generation.fossil.coal.derived.gas",0
"550","2017-03","generation.fossil.gas",3965702
"551","2017-03","generation.fossil.hard.coal",2205112
"552","2017-03","generation.fossil.oil",224763
"553","2017-03","generation.fossil.oil.shale",0
"554","2017-03","generation.fossil.peat",0
"555","2017-03","generation.geothermal",0
"556","2017-03","generation.hydro.pumped.storage.aggregated",0
"557","2017-03","generation.hydro.pumped.storage.consumption",264229
"558","2017-03","generation.hydro.run.of.river.and.poundage",758156
"559","2017-03","generation.hydro.water.reservoir",1744905
"560","2017-03","generation.marine",0
"561","2017-03","generation.nuclear",5019672
"562","2017-03","generation.other",40531
"563","2017-03","generation.other.renewable",71094
"564","2017-03","generation.solar",1051413
"565","2017-03","generation.waste",212532
"566","2017-03","generation.wind.offshore",0
"567","2017-03","generation.wind.onshore",4178000
"568","2017-04","generation.biomass",404296
"569","2017-04","generation.fossil.brown.coal.lignite",302483
"570","2017-04","generation.fossil.coal.derived.gas",0
"571","2017-04","generation.fossil.gas",3722285
"572","2017-04","generation.fossil.hard.coal",2245912
"573","2017-04","generation.fossil.oil",188273
"574","2017-04","generation.fossil.oil.shale",0
"575","2017-04","generation.fossil.peat",0
"576","2017-04","generation.geothermal",0
"577","2017-04","generation.hydro.pumped.storage.aggregated",0
"578","2017-04","generation.hydro.pumped.storage.consumption",359174
"579","2017-04","generation.hydro.run.of.river.and.poundage",637220
"580","2017-04","generation.hydro.water.reservoir",1160219
"581","2017-04","generation.marine",0
"582","2017-04","generation.nuclear",4806996
"583","2017-04","generation.other",21520
"584","2017-04","generation.other.renewable",69099
"585","2017-04","generation.solar",1057556
"586","2017-04","generation.waste",221326
"587","2017-04","generation.wind.offshore",0
"588","2017-04","generation.wind.onshore",4134002
"589","2017-05","generation.biomass",526014
"590","2017-05","generation.fossil.brown.coal.lignite",372573
"591","2017-05","generation.fossil.coal.derived.gas",0
"592","2017-05","generation.fossil.gas",4086994
"593","2017-05","generation.fossil.hard.coal",3295116
"594","2017-05","generation.fossil.oil",217189
"595","2017-05","generation.fossil.oil.shale",0
"596","2017-05","generation.fossil.peat",0
"597","2017-05","generation.geothermal",0
"598","2017-05","generation.hydro.pumped.storage.aggregated",0
"599","2017-05","generation.hydro.pumped.storage.consumption",301848
"600","2017-05","generation.hydro.run.of.river.and.poundage",694732
"601","2017-05","generation.hydro.water.reservoir",1219875
"602","2017-05","generation.marine",0
"603","2017-05","generation.nuclear",4137563
"604","2017-05","generation.other",38850
"605","2017-05","generation.other.renewable",71979
"606","2017-05","generation.solar",1339239
"607","2017-05","generation.waste",217262
"608","2017-05","generation.wind.offshore",0
"609","2017-05","generation.wind.onshore",3743736
"610","2017-06","generation.biomass",489570
"611","2017-06","generation.fossil.brown.coal.lignite",344744
"612","2017-06","generation.fossil.coal.derived.gas",0
"613","2017-06","generation.fossil.gas",5179882
"614","2017-06","generation.fossil.hard.coal",3665630
"615","2017-06","generation.fossil.oil",215563
"616","2017-06","generation.fossil.oil.shale",0
"617","2017-06","generation.fossil.peat",0
"618","2017-06","generation.geothermal",0
"619","2017-06","generation.hydro.pumped.storage.aggregated",0
"620","2017-06","generation.hydro.pumped.storage.consumption",259542
"621","2017-06","generation.hydro.run.of.river.and.poundage",567103
"622","2017-06","generation.hydro.water.reservoir",1043024
"623","2017-06","generation.marine",0
"624","2017-06","generation.nuclear",4365979
"625","2017-06","generation.other",38900
"626","2017-06","generation.other.renewable",66316
"627","2017-06","generation.solar",1381697
"628","2017-06","generation.waste",215018
"629","2017-06","generation.wind.offshore",0
"630","2017-06","generation.wind.onshore",4022300
"631","2017-07","generation.biomass",547148
"632","2017-07","generation.fossil.brown.coal.lignite",484104
"633","2017-07","generation.fossil.coal.derived.gas",0
"634","2017-07","generation.fossil.gas",5480359
"635","2017-07","generation.fossil.hard.coal",3393595
"636","2017-07","generation.fossil.oil",229301
"637","2017-07","generation.fossil.oil.shale",0
"638","2017-07","generation.fossil.peat",0
"639","2017-07","generation.geothermal",0
"640","2017-07","generation.hydro.pumped.storage.aggregated",0
"641","2017-07","generation.hydro.pumped.storage.consumption",177278
"642","2017-07","generation.hydro.run.of.river.and.poundage",509932
"643","2017-07","generation.hydro.water.reservoir",960492
"644","2017-07","generation.marine",0
"645","2017-07","generation.nuclear",4551348
"646","2017-07","generation.other",21052
"647","2017-07","generation.other.renewable",69487
"648","2017-07","generation.solar",1506689
"649","2017-07","generation.waste",227953
"650","2017-07","generation.wind.offshore",0
"651","2017-07","generation.wind.onshore",3570811
"652","2017-08","generation.biomass",539964
"653","2017-08","generation.fossil.brown.coal.lignite",380814
"654","2017-08","generation.fossil.coal.derived.gas",0
"655","2017-08","generation.fossil.gas",4986240
"656","2017-08","generation.fossil.hard.coal",2816957
"657","2017-08","generation.fossil.oil",227839
"658","2017-08","generation.fossil.oil.shale",0
"659","2017-08","generation.fossil.peat",0
"660","2017-08","generation.geothermal",0
"661","2017-08","generation.hydro.pumped.storage.aggregated",0
"662","2017-08","generation.hydro.pumped.storage.consumption",180299
"663","2017-08","generation.hydro.run.of.river.and.poundage",455879
"664","2017-08","generation.hydro.water.reservoir",937954
"665","2017-08","generation.marine",0
"666","2017-08","generation.nuclear",4966830
"667","2017-08","generation.other",40498
"668","2017-08","generation.other.renewable",68632
"669","2017-08","generation.solar",1305095
"670","2017-08","generation.waste",232664
"671","2017-08","generation.wind.offshore",0
"672","2017-08","generation.wind.onshore",3235295
"673","2017-09","generation.biomass",506834
"674","2017-09","generation.fossil.brown.coal.lignite",462694
"675","2017-09","generation.fossil.coal.derived.gas",0
"676","2017-09","generation.fossil.gas",5106565
"677","2017-09","generation.fossil.hard.coal",2887535
"678","2017-09","generation.fossil.oil",223777
"679","2017-09","generation.fossil.oil.shale",0
"680","2017-09","generation.fossil.peat",0
"681","2017-09","generation.geothermal",0
"682","2017-09","generation.hydro.pumped.storage.aggregated",0
"683","2017-09","generation.hydro.pumped.storage.consumption",184053
"684","2017-09","generation.hydro.run.of.river.and.poundage",415741
"685","2017-09","generation.hydro.water.reservoir",1130767
"686","2017-09","generation.marine",0
"687","2017-09","generation.nuclear",4627936
"688","2017-09","generation.other",38919
"689","2017-09","generation.other.renewable",68308
"690","2017-09","generation.solar",1246584
"691","2017-09","generation.waste",214411
"692","2017-09","generation.wind.offshore",0
"693","2017-09","generation.wind.onshore",2796393
"694","2017-10","generation.biomass",512468
"695","2017-10","generation.fossil.brown.coal.lignite",418185
"696","2017-10","generation.fossil.coal.derived.gas",0
"697","2017-10","generation.fossil.gas",5186541
"698","2017-10","generation.fossil.hard.coal",3219242
"699","2017-10","generation.fossil.oil",214127
"700","2017-10","generation.fossil.oil.shale",0
"701","2017-10","generation.fossil.peat",0
"702","2017-10","generation.geothermal",0
"703","2017-10","generation.hydro.pumped.storage.aggregated",0
"704","2017-10","generation.hydro.pumped.storage.consumption",315049
"705","2017-10","generation.hydro.run.of.river.and.poundage",398311
"706","2017-10","generation.hydro.water.reservoir",915817
"707","2017-10","generation.marine",0
"708","2017-10","generation.nuclear",4472797
"709","2017-10","generation.other",41142
"710","2017-10","generation.other.renewable",71242
"711","2017-10","generation.solar",1001523
"712","2017-10","generation.waste",216826
"713","2017-10","generation.wind.offshore",0
"714","2017-10","generation.wind.onshore",3899926
"715","2017-11","generation.biomass",510614
"716","2017-11","generation.fossil.brown.coal.lignite",480706
"717","2017-11","generation.fossil.coal.derived.gas",0
"718","2017-11","generation.fossil.gas",6145069
"719","2017-11","generation.fossil.hard.coal",3953676
"720","2017-11","generation.fossil.oil",218551
"721","2017-11","generation.fossil.oil.shale",0
"722","2017-11","generation.fossil.peat",0
"723","2017-11","generation.geothermal",0
"724","2017-11","generation.hydro.pumped.storage.aggregated",0
"725","2017-11","generation.hydro.pumped.storage.consumption",274912
"726","2017-11","generation.hydro.run.of.river.and.poundage",428497
"727","2017-11","generation.hydro.water.reservoir",987364
"728","2017-11","generation.marine",0
"729","2017-11","generation.nuclear",4006956
"730","2017-11","generation.other",34108
"731","2017-11","generation.other.renewable",68329
"732","2017-11","generation.solar",850065
"733","2017-11","generation.waste",204155
"734","2017-11","generation.wind.offshore",0
"735","2017-11","generation.wind.onshore",3744136
"736","2017-12","generation.biomass",516594
"737","2017-12","generation.fossil.brown.coal.lignite",354548
"738","2017-12","generation.fossil.coal.derived.gas",0
"739","2017-12","generation.fossil.gas",4341921
"740","2017-12","generation.fossil.hard.coal",3222006
"741","2017-12","generation.fossil.oil",218681
"742","2017-12","generation.fossil.oil.shale",0
"743","2017-12","generation.fossil.peat",0
"744","2017-12","generation.geothermal",0
"745","2017-12","generation.hydro.pumped.storage.aggregated",0
"746","2017-12","generation.hydro.pumped.storage.consumption",575984
"747","2017-12","generation.hydro.run.of.river.and.poundage",667223
"748","2017-12","generation.hydro.water.reservoir",1081000
"749","2017-12","generation.marine",0
"750","2017-12","generation.nuclear",5070463
"751","2017-12","generation.other",37642
"752","2017-12","generation.other.renewable",68311
"753","2017-12","generation.solar",770357
"754","2017-12","generation.waste",226924
"755","2017-12","generation.wind.offshore",0
"756","2017-12","generation.wind.onshore",5399398
"757","2018-01","generation.biomass",511646
"758","2018-01","generation.fossil.brown.coal.lignite",282396
"759","2018-01","generation.fossil.coal.derived.gas",0
"760","2018-01","generation.fossil.gas",4231660
"761","2018-01","generation.fossil.hard.coal",2815015
"762","2018-01","generation.fossil.oil",212590
"763","2018-01","generation.fossil.oil.shale",0
"764","2018-01","generation.fossil.peat",0
"765","2018-01","generation.geothermal",0
"766","2018-01","generation.hydro.pumped.storage.aggregated",0
"767","2018-01","generation.hydro.pumped.storage.consumption",340986
"768","2018-01","generation.hydro.run.of.river.and.poundage",835665
"769","2018-01","generation.hydro.water.reservoir",1690291
"770","2018-01","generation.marine",0
"771","2018-01","generation.nuclear",5002425
"772","2018-01","generation.other",38363
"773","2018-01","generation.other.renewable",72155
"774","2018-01","generation.solar",782256
"775","2018-01","generation.waste",229542
"776","2018-01","generation.wind.offshore",0
"777","2018-01","generation.wind.onshore",4610899
"778","2018-02","generation.biomass",484528
"779","2018-02","generation.fossil.brown.coal.lignite",273471
"780","2018-02","generation.fossil.coal.derived.gas",0
"781","2018-02","generation.fossil.gas",3674523
"782","2018-02","generation.fossil.hard.coal",2785030
"783","2018-02","generation.fossil.oil",198845
"784","2018-02","generation.fossil.oil.shale",0
"785","2018-02","generation.fossil.peat",0
"786","2018-02","generation.geothermal",0
"787","2018-02","generation.hydro.pumped.storage.aggregated",0
"788","2018-02","generation.hydro.pumped.storage.consumption",273087
"789","2018-02","generation.hydro.run.of.river.and.poundage",848587
"790","2018-02","generation.hydro.water.reservoir",1863593
"791","2018-02","generation.marine",0
"792","2018-02","generation.nuclear",4320539
"793","2018-02","generation.other",37192
"794","2018-02","generation.other.renewable",65021
"795","2018-02","generation.solar",837386
"796","2018-02","generation.waste",209131
"797","2018-02","generation.wind.offshore",0
"798","2018-02","generation.wind.onshore",4612981
"799","2018-03","generation.biomass",456580
"800","2018-03","generation.fossil.brown.coal.lignite",92441
"801","2018-03","generation.fossil.coal.derived.gas",0
"802","2018-03","generation.fossil.gas",3667458
"803","2018-03","generation.fossil.hard.coal",1602787
"804","2018-03","generation.fossil.oil",214078
"805","2018-03","generation.fossil.oil.shale",0
"806","2018-03","generation.fossil.peat",0
"807","2018-03","generation.geothermal",0
"808","2018-03","generation.hydro.pumped.storage.aggregated",0
"809","2018-03","generation.hydro.pumped.storage.consumption",556635
"810","2018-03","generation.hydro.run.of.river.and.poundage",1124399
"811","2018-03","generation.hydro.water.reservoir",3253166
"812","2018-03","generation.marine",0
"813","2018-03","generation.nuclear",4526122
"814","2018-03","generation.other",37931
"815","2018-03","generation.other.renewable",72548
"816","2018-03","generation.solar",1004773
"817","2018-03","generation.waste",228873
"818","2018-03","generation.wind.offshore",0
"819","2018-03","generation.wind.onshore",6517032
"820","2018-04","generation.biomass",431126
"821","2018-04","generation.fossil.brown.coal.lignite",96465
"822","2018-04","generation.fossil.coal.derived.gas",0
"823","2018-04","generation.fossil.gas",3416597
"824","2018-04","generation.fossil.hard.coal",1998633
"825","2018-04","generation.fossil.oil",185493
"826","2018-04","generation.fossil.oil.shale",0
"827","2018-04","generation.fossil.peat",0
"828","2018-04","generation.geothermal",0
"829","2018-04","generation.hydro.pumped.storage.aggregated",0
"830","2018-04","generation.hydro.pumped.storage.consumption",413728
"831","2018-04","generation.hydro.run.of.river.and.poundage",1127587
"832","2018-04","generation.hydro.water.reservoir",2995127
"833","2018-04","generation.marine",0
"834","2018-04","generation.nuclear",3963006
"835","2018-04","generation.other",27106
"836","2018-04","generation.other.renewable",69949
"837","2018-04","generation.solar",1081186
"838","2018-04","generation.waste",220187
"839","2018-04","generation.wind.offshore",0
"840","2018-04","generation.wind.onshore",3808258
"841","2018-05","generation.biomass",473644
"842","2018-05","generation.fossil.brown.coal.lignite",228932
"843","2018-05","generation.fossil.coal.derived.gas",0
"844","2018-05","generation.fossil.gas",4298209
"845","2018-05","generation.fossil.hard.coal",2733569
"846","2018-05","generation.fossil.oil",208655
"847","2018-05","generation.fossil.oil.shale",0
"848","2018-05","generation.fossil.peat",0
"849","2018-05","generation.geothermal",0
"850","2018-05","generation.hydro.pumped.storage.aggregated",0
"851","2018-05","generation.hydro.pumped.storage.consumption",215465
"852","2018-05","generation.hydro.run.of.river.and.poundage",1063328
"853","2018-05","generation.hydro.water.reservoir",2180810
"854","2018-05","generation.marine",0
"855","2018-05","generation.nuclear",4066109
"856","2018-05","generation.other",40806
"857","2018-05","generation.other.renewable",74839
"858","2018-05","generation.solar",1136013
"859","2018-05","generation.waste",184371
"860","2018-05","generation.wind.offshore",0
"861","2018-05","generation.wind.onshore",3265969
"862","2018-06","generation.biomass",506496
"863","2018-06","generation.fossil.brown.coal.lignite",240479
"864","2018-06","generation.fossil.coal.derived.gas",0
"865","2018-06","generation.fossil.gas",4181440
"866","2018-06","generation.fossil.hard.coal",2202924
"867","2018-06","generation.fossil.oil",205287
"868","2018-06","generation.fossil.oil.shale",0
"869","2018-06","generation.fossil.peat",0
"870","2018-06","generation.geothermal",0
"871","2018-06","generation.hydro.pumped.storage.aggregated",0
"872","2018-06","generation.hydro.pumped.storage.consumption",152737
"873","2018-06","generation.hydro.run.of.river.and.poundage",1017766
"874","2018-06","generation.hydro.water.reservoir",2421021
"875","2018-06","generation.marine",0
"876","2018-06","generation.nuclear",4034324
"877","2018-06","generation.other",38469
"878","2018-06","generation.other.renewable",72799
"879","2018-06","generation.solar",1335742
"880","2018-06","generation.waste",210858
"881","2018-06","generation.wind.offshore",0
"882","2018-06","generation.wind.onshore",3441192
"883","2018-07","generation.biomass",545690
"884","2018-07","generation.fossil.brown.coal.lignite",376232
"885","2018-07","generation.fossil.coal.derived.gas",0
"886","2018-07","generation.fossil.gas",4358209
"887","2018-07","generation.fossil.hard.coal",2982928
"888","2018-07","generation.fossil.oil",209188
"889","2018-07","generation.fossil.oil.shale",0
"890","2018-07","generation.fossil.peat",0
"891","2018-07","generation.geothermal",0
"892","2018-07","generation.hydro.pumped.storage.aggregated",0
"893","2018-07","generation.hydro.pumped.storage.consumption",193419
"894","2018-07","generation.hydro.run.of.river.and.poundage",842435
"895","2018-07","generation.hydro.water.reservoir",2072397
"896","2018-07","generation.marine",0
"897","2018-07","generation.nuclear",4548286
"898","2018-07","generation.other",41575
"899","2018-07","generation.other.renewable",71861
"900","2018-07","generation.solar",1493687
"901","2018-07","generation.waste",227379
"902","2018-07","generation.wind.offshore",0
"903","2018-07","generation.wind.onshore",3016511
"904","2018-08","generation.biomass",537652
"905","2018-08","generation.fossil.brown.coal.lignite",223306
"906","2018-08","generation.fossil.coal.derived.gas",0
"907","2018-08","generation.fossil.gas",4552794
"908","2018-08","generation.fossil.hard.coal",3066445
"909","2018-08","generation.fossil.oil",210800
"910","2018-08","generation.fossil.oil.shale",0
"911","2018-08","generation.fossil.peat",0
"912","2018-08","generation.geothermal",0
"913","2018-08","generation.hydro.pumped.storage.aggregated",0
"914","2018-08","generation.hydro.pumped.storage.consumption",171529
"915","2018-08","generation.hydro.run.of.river.and.poundage",731230
"916","2018-08","generation.hydro.water.reservoir",1708246
"917","2018-08","generation.marine",0
"918","2018-08","generation.nuclear",4951559
"919","2018-08","generation.other",39914
"920","2018-08","generation.other.renewable",71882
"921","2018-08","generation.solar",1269956
"922","2018-08","generation.waste",229410
"923","2018-08","generation.wind.offshore",0
"924","2018-08","generation.wind.onshore",3242783
"925","2018-09","generation.biomass",511874
"926","2018-09","generation.fossil.brown.coal.lignite",401876
"927","2018-09","generation.fossil.coal.derived.gas",0
"928","2018-09","generation.fossil.gas",4206285
"929","2018-09","generation.fossil.hard.coal",3348733
"930","2018-09","generation.fossil.oil",213218
"931","2018-09","generation.fossil.oil.shale",0
"932","2018-09","generation.fossil.peat",0
"933","2018-09","generation.geothermal",0
"934","2018-09","generation.hydro.pumped.storage.aggregated",0
"935","2018-09","generation.hydro.pumped.storage.consumption",131038
"936","2018-09","generation.hydro.run.of.river.and.poundage",650647
"937","2018-09","generation.hydro.water.reservoir",1632702
"938","2018-09","generation.marine",0
"939","2018-09","generation.nuclear",4767839
"940","2018-09","generation.other",41346
"941","2018-09","generation.other.renewable",72140
"942","2018-09","generation.solar",1087670
"943","2018-09","generation.waste",221820
"944","2018-09","generation.wind.offshore",0
"945","2018-09","generation.wind.onshore",3071512
"946","2018-10","generation.biomass",473712
"947","2018-10","generation.fossil.brown.coal.lignite",302349
"948","2018-10","generation.fossil.coal.derived.gas",0
"949","2018-10","generation.fossil.gas",4564974
"950","2018-10","generation.fossil.hard.coal",2818198
"951","2018-10","generation.fossil.oil",217018
"952","2018-10","generation.fossil.oil.shale",0
"953","2018-10","generation.fossil.peat",0
"954","2018-10","generation.geothermal",0
"955","2018-10","generation.hydro.pumped.storage.aggregated",0
"956","2018-10","generation.hydro.pumped.storage.consumption",386364
"957","2018-10","generation.hydro.run.of.river.and.poundage",671693
"958","2018-10","generation.hydro.water.reservoir",1618283
"959","2018-10","generation.marine",0
"960","2018-10","generation.nuclear",4871645
"961","2018-10","generation.other",43408
"962","2018-10","generation.other.renewable",73470
"963","2018-10","generation.solar",744841
"964","2018-10","generation.waste",228844
"965","2018-10","generation.wind.offshore",0
"966","2018-10","generation.wind.onshore",4586920
"967","2018-11","generation.biomass",492628
"968","2018-11","generation.fossil.brown.coal.lignite",270530
"969","2018-11","generation.fossil.coal.derived.gas",0
"970","2018-11","generation.fossil.gas",5000979
"971","2018-11","generation.fossil.hard.coal",3483920
"972","2018-11","generation.fossil.oil",196548
"973","2018-11","generation.fossil.oil.shale",0
"974","2018-11","generation.fossil.peat",0
"975","2018-11","generation.geothermal",0
"976","2018-11","generation.hydro.pumped.storage.aggregated",0
"977","2018-11","generation.hydro.pumped.storage.consumption",281377
"978","2018-11","generation.hydro.run.of.river.and.poundage",874715
"979","2018-11","generation.hydro.water.reservoir",1919448
"980","2018-11","generation.marine",0
"981","2018-11","generation.nuclear",3890518
"982","2018-11","generation.other",39661
"983","2018-11","generation.other.renewable",69453
"984","2018-11","generation.solar",598801
"985","2018-11","generation.waste",210338
"986","2018-11","generation.wind.offshore",0
"987","2018-11","generation.wind.onshore",4361442
"988","2018-12","generation.biomass",476400
"989","2018-12","generation.fossil.brown.coal.lignite",302234
"990","2018-12","generation.fossil.coal.derived.gas",0
"991","2018-12","generation.fossil.gas",4808871
"992","2018-12","generation.fossil.hard.coal",2504124
"993","2018-12","generation.fossil.oil",200152
"994","2018-12","generation.fossil.oil.shale",0
"995","2018-12","generation.fossil.peat",0
"996","2018-12","generation.geothermal",0
"997","2018-12","generation.hydro.pumped.storage.aggregated",0
"998","2018-12","generation.hydro.pumped.storage.consumption",253104
"999","2018-12","generation.hydro.run.of.river.and.poundage",928740
"1000","2018-12","generation.hydro.water.reservoir",2055690
"1001","2018-12","generation.marine",0
"1002","2018-12","generation.nuclear",4330937
"1003","2018-12","generation.other",42245
"1004","2018-12","generation.other.renewable",71336
"1005","2018-12","generation.solar",651439
"1006","2018-12","generation.waste",215860
"1007","2018-12","generation.wind.offshore",0
"1008","2018-12","generation.wind.onshore",4379720
